stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,51,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,1.13,1.13,0,0.85,0.56,0,0,1.97,5.92,0,0.28,0,0,0.28,0.28,0,0,0
21Day,1.11,0,0,0.74,0.74,0,1.11,0,0,0,0,0,1.85,0.37,0,1.48,0.74,0.74,0,0,0,2.59,2.96,0,1.48,0.37,0,0.37,0,0,0,0.74
3Month,0,0,0,1.66,0,0.21,0.1,0.21,0.42,0,1.66,0.1,0.21,1.04,0.1,0.52,0.62,0.42,0,0.31,0.42,0.21,0,0,0,0.21,5.2,0,0,0.21,0.21,0.73
22Month,0,0.14,0.14,0.14,0,0,0,0,0,0.14,1.5,0.14,0,0.14,0,0,0.27,0,0.27,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0
