stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,9.3,0.56,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0.37,1.11,5.18,1.85,0.37,0,41.07,0.74,0.37,1.11,0.37,0.74,2.22,0.74,0.37,1.11,2.59,0,0.74,0.37,0.37,0,0.74
3Month,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0.42,0
22Month,0,0,0,0,0,0,0.41,0,0.14,0,0,0,0,0,0,0,0,0,0.27,0.55,0,0,0,0
