stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,1.97,0,0.56,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74
3Month,0.1,9.67,0,0.31,0.73,0,1.14,0.52,0,1.04,0.52,3.85,0.62,0.42,0.1,0.31,0,0,0.1,6.97,0,0,0.1,0.62,0.31
22Month,0,0.68,0.14,0.14,0.68,0.96,2.73,0.27,0.14,0.82,0,0,0.14,0.27,0.14,0.14,0.14,0,0,4.24,0,0,0,0,0.14
