stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.56,0,0,0,0,0,0,0.85,1.41,0.28,0.56,0,98.36,4.23,0,1.41,0,0.56,0.56,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0,0.37,0,1.11,0,14.8,0.74,0,0.37,0,0,0,0,0
3Month,0.1,1.04,0,0,0,0.1,0,0.1,0,0.52,0,0.21,0.21,0.21,0,0.1,0,0.1,0,0,0,0,0.31,0.1
22Month,0,0.14,0,0,0.14,0.14,0,3.69,0.55,0.14,0,0.27,0.14,0.14,0.14,0,0,0,0,0.14,0,0,0,0.14
