stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Radial_glia
24hpf,1,0,0,0,1,0
72hpf,0,0,0.28,0,0,0
21Day,1.48,0,0,0.74,0,0
3Month,0,0.31,0,0.1,0,0.1
