stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,26,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,0,0,0,34,78,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,7.61,2.25,7.61,0.56,0.85,0,0,0,0,0,0,0,0,0,1.13,15.78,1.69,26.21,0,1.41,0.28,10.71,27.34,0,0.28,0,23.68,0,0,2.54,0,0.28,1.69,0,0,0
21Day,4.44,0.37,24.79,0,1.48,0,0,0,0,0,0,0,0.37,0.37,0.74,4.81,4.44,52.54,0,13.32,0,5.18,4.44,0,0,0,13.32,1.85,0,0.37,0.74,0,4.07,0,0,0.37
3Month,0.21,1.25,17.89,0,0,0.21,0.1,0.52,0.73,0,1.14,0.1,0,1.25,0.21,11.03,6.97,14.87,2.39,3.12,0,0.83,0,0.31,0.21,0,0.1,0.62,0.42,0.1,0,0,0.21,0.52,0.1,0.62
22Month,0,0.55,3.69,0,0,0,0,0.27,0.41,0.14,2.32,0,0.14,0.27,0,3.01,2.6,17.22,0.68,1.23,0,0.41,0,0,0.14,0.14,0.14,0,0,0.82,0,0,0,0.14,0,0
