stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,12.68,0,0,0,0.28,0,0,0,1.13,0,1.97,0.28,25.93,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0.74,18.5,0.37,23.68,0,4.81,0,4.81,0,0,0.74,5.18,2.22,0.74,31.82,20.72,1.48,0,0,0.74,0,1.11,0.74,0,0,1.48,0,0,0.37,0,0,0,0,2.22
3Month,0.21,0.21,6.24,23.2,0,0,1.25,1.35,3.95,27.77,0,4.99,47.02,0.83,28.5,0.73,2.81,21.32,1.66,0.62,0,0.73,0,0.21,0,0.42,0,0,0.73,0.31,13.42,0.1,0,0.94,2.29,10.19
22Month,0.27,0.41,3.42,6.42,0,0,0.68,0,1.78,66.68,0.14,4.51,16.81,1.91,44.96,0.27,0.41,36.49,0.68,0,0.27,0.82,0.14,0.27,0.14,0,0.27,0.14,0.14,0,6.97,0.41,0,0.14,0,3.42
