stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0.85,1.97,0,2.25,0,0.56,0,0,1.97,3.66,0.28,1.41,0.56,0,0.85,0,0,0,0
21Day,0,0,0,2.22,0,0.37,0,0,0,0.37,0,0.37,0,0.37,1.11,0,4.44,0,0,0,0.37,0.74,0.37,0,2.59,0.74,0,0.37,0.37,0,0,0.37
3Month,0.1,0.1,0.31,14.56,0.1,0.1,0.1,0.62,0,33.08,0.21,0,1.66,0.73,0.94,1.35,1.87,1.25,0.1,0.42,0.42,0.1,0,0,0,0.73,7.7,0,0,0.1,68.65,0.62
22Month,0,0.14,0.14,5.19,0,0,0,0.68,0.14,11.34,0.14,0.14,0.68,0,0.27,3.01,1.91,0,0.27,0.14,0,0.27,0,0,0,0,5.33,0.27,0,0.14,0.96,0.68
