stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,8,0
72hpf,1.13,0,0.28,0,0,0,1.41,1.41,0,26.21,0.56,0,0,0,0.28,18.6,0
21Day,0.37,0,0,0,0,0,0,0.74,0,4.07,0.37,0,0.37,0,0,5.18,0
3Month,0,0.1,0,0,0.42,0.1,0,0.21,0,0,0,0,0,0.31,0,0,0.42
22Month,0,0.14,0,0.14,0.27,0,0,0,0.14,0,0,0.14,0,0.27,0,0,0
