stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,1.13,0,0,0,0
21Day,0.37,0,0,0,1.11,0,0,0,0,0.37,0,0,0,0.37,0.74,0,0,0,0,0
22Month,0,1.09,0.14,0.82,0,0.41,0.68,0.27,5.06,0.41,0.41,0.27,1.23,0.55,0.14,0,0.27,0.14,0.27,0.82
