stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,9,0,2,0,0,0,0,0,0
72hpf,1.69,0,1.41,0.28,0.28,0,0,0,0,0,0,0,0,0,2.54,4.23,0,5.36,2.25,0.56,0,2.82,2.54,0.56,15.78,1.69,0,0,0,0,0
21Day,2.59,0.37,18.13,0,2.22,1.11,0,0.37,0,0,1.48,1.48,2.22,1.11,2.22,10.36,1.48,21.46,0.37,5.18,0,3.33,6.29,0.74,24.42,15.17,0,0.37,0.74,0.74,0
3Month,0,0,0.52,0,0,0,0.1,0,0,0,0.21,0,0,0,0.21,0.1,0,0.1,0,0,0.1,0,0,0.21,0,0,2.91,0,0.1,0,0.42
22Month,0,0,0.14,0,0,0,0,0,0.96,0,2.05,0,0,0.27,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
