stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.1,0.28,0,0,0,0,0,0,0,0,16.91,0,0.28,0,0,0,0.56,0,13.81,0,0,0,0,0.85,0,0
21Day,0,1.48,0.37,0,0,0,0,0,0,0,0,2.22,0,2.22,0,0.37,0,1.48,0,7.4,0.74,0,0.37,0.37,0.74,0,0
3Month,0.21,1.46,0,0.1,0.21,0.31,1.14,0.31,0.1,1.14,0.21,5.62,0.31,1.46,0,0.1,0.21,0,0.1,1.56,0.1,0.21,0,0,0,0.21,0.21
22Month,0,0.41,0,0,0,0,3.55,0.14,0,0.55,0,0.27,0.14,0.27,0.14,0.14,0,0,0,0.27,0,0.14,0,0,0,0,0
