stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,14.94,0,0,2.25,0.85,0.56,0,0,0,0,0,0.28,0,0,0,1.41,0.28,15.78,0,1.69,0,6.2,6.2,0,0.28,42.84,0,0,0.85,0,0,0,0,0,0
21Day,18.5,0,0,1.48,2.59,0.37,0,0.37,0,0.74,0,0.37,0,0,0.37,0.74,0,25.16,0,3.7,0,4.44,1.85,0,0.37,14.43,0.74,0,0.37,0.37,0.74,0,0,0,0.74
3Month,0.31,0.1,0.1,5.72,0,0,0,0,0.21,0.52,0,3.54,0.52,0.52,0.1,0.73,0.62,3.02,0.21,0,0.1,0,1.46,0.21,0.21,1.14,0.1,1.77,0.1,0,0,0.1,0.1,2.5,0.42
22Month,0,0.27,0.14,2.73,0,0,0.14,0.14,0.27,0.96,5.88,15.85,0.96,0.96,0.27,0.41,1.23,1.91,0,0.27,0,0,0.27,0,0,0.14,0,0.68,0,0,0,0.14,0,0,0.14
