stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,9,0,0,0,0,0,2,0,0,0,0,0,9,2,8,0,0,6,68,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0.56,0,0,1.41,0,0,0,0,0.85,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
22Month,0,2.19,0.27,3.01,0.41,0.14,0.55,4.65,2.32,0,15.99,1.23,0.55,1.09,0.14,0.82,1.37,2.46,0.55,0.55,0.41,0,0.27,0.41,63.82,0,1.37,0.41,0.27,0.14,0.14,0.68
