stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,1.41,0.56,0,0,0,0,0,0.28,0.56,0,0,0
21Day,0,0,0,1.85,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.42,0.31,14.67,0.31,0.21,0,0.73,1.35,0.21,7.28,1.25,0.21,2.91,2.08,1.35,0.73,1.77,0.21,0.1,0.73,0.52,0.94,0.31,1.04,0.1,0.31,1.46,19.14,0.42,0.21,0.42,287.82,1.04
22Month,0.27,0.14,0,5.19,0.14,0,0.14,0,0.14,0,5.19,0.27,0,0.55,0.41,0,0,0.82,0,0.14,0,0,0,0.14,0.41,0,0,0,9.43,0.27,0,0,1.5,0
