stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0.28,1.13,0,20.01,8.17,0,0.28,0.56,0,0,0.85,0,0
21Day,0,0.37,0.37,0.37,0.37,0.37,0,0.74,0,0,0.74,1.11,2.96,0.37,13.69,4.44,0,0,0,1.11,0.37,1.11,0.74,0
3Month,0,0.31,0,0,0.1,0.31,0,0,0.21,0.1,0,0,0,0.1,0.42,0.1,0.42,0,0,0.1,1.35,0.1,0,0.1
22Month,0,0,0,0,0,0.55,0.14,0,0.14,0,0,0,0.27,0.14,0.14,0,0.68,0,0,0,4.51,0.14,0,0
