stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,8,0,1,0,0,0,0,0,0
72hpf,0,0,1.97,0,0,0,0,0,0,0,0.85,0,0,0.28,0,0,1.41,0.85,3.1,0,0,0,0,0.28,0,0,0
21Day,0,0.37,1.85,0,0,0,0.37,0,0.37,0,0,0.37,0,0.74,0,0,0.37,0.37,4.44,0,0,0.37,0,0,0,0,0.37
3Month,0.1,0.1,3.74,0.31,0.1,0,1.77,0.62,0,0.94,0.1,0.42,0.21,0.62,0.42,0.1,0.21,0,25.48,0.62,0,0.21,1.66,0.1,0.31,0.94,0.31
22Month,0,0.27,1.64,0.27,0.41,0.14,3.69,0.14,0.27,0.55,0,0,0.14,0.41,0,0,0.14,0,10.39,8.88,0,0,2.87,0.14,0,0,0
