stage,Cardiomyocyte,Hepatocyte,Immune_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
24hpf,1,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,0.28
3Month,0,0.21,0.1,0,0,0,0
22Month,0,0.27,0,0,0.14,0,0
