stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0.85,0,0,0,0,0,0,0.85,0,0,0,0,0,1.97,0,0,0,0,0,0
21Day,0,3.7,0,0,0,0,0,0,0,0.37,0,0,0.37,0,2.22,0.37,0,0.37,0.37,0,0
3Month,0.52,0.73,0.21,0,0.83,0,0.1,0.21,0.1,0.1,0.42,0.1,0,0,0,0,0.21,0.1,0,0.1,0.1
22Month,0,0.14,0.14,0.41,6.42,0.14,0,0.27,0,0,0.55,0,0,0.27,0.14,0,0,0.27,0,0,0
