stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,48,0,0,0,10,33,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,8.46,2.25,0,0,0,0,0,0,0,0,0,0,0,1.69,4.79,0,24.8,0.28,0.28,0,11.27,5.07,0,0.56,15.78,0,0,0.56,0,0.28,0,0,0
21Day,1.11,0,0,5.92,0,1.48,0,0,0,0,0,0,0,0.37,0.74,0,0.37,1.48,0.74,33.3,0.37,1.48,0.37,6.66,1.48,0,1.48,2.59,1.48,1.48,0,0.37,0,0.37,0,0
3Month,0,0.21,0,18.2,0,0,0.1,0,1.25,0.42,0.83,0,1.98,0.62,0.1,0.83,0.42,3.33,0.94,14.56,2.08,0.1,0.1,0.42,0,0.1,0.52,0,0.21,7.28,0,0,0,8.63,4.99,0.31
22Month,0,0.27,0.14,8.47,0,0,0,0.14,0.14,0.41,0.82,0.27,2.6,0,0,0.14,0,0.27,0,3.42,0.41,0.41,0,0.14,0,0.27,0,0,0,4.78,0,0,0,0.55,0,0
