stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,3.38,0,0.28,0.28,0,34.1,13.25,0,0,1.41,0.28,0.85,2.54,0.28,0.56,0,0,0,0
21Day,2.22,0,0,2.22,0.37,0.37,0,0,0,0,0,0,0.37,0,1.11,0,0.74,1.11,0.37,4.81,0,0,0.74,0,7.77,3.7,0.37,0,3.7,0,11.84,0,0.74,0.37,0,0,0.37,0.37
3Month,0.21,0.1,0.52,4.47,0.1,0,0.1,0.1,0.21,0.52,0.83,0,10.4,1.77,0.31,4.58,0.42,0.94,1.46,1.77,0.21,0,0.21,0.21,0.31,0.1,0.52,0,0.1,2.39,280.53,0.31,0,0,0.1,0.83,68.86,1.04
22Month,0.14,0.55,0.27,2.6,0.14,0,0,0,0,0.55,0.82,0.96,17.22,0.41,0.27,6.97,0.14,0.14,1.5,1.09,0,0.41,0.41,0,0.14,0,0.14,3.28,0.27,0.27,65.18,0.55,0.14,0,0,0,0.27,0.41
