stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,2.82,0.85,0,0,0,0.28,0.56,0,0
21Day,0.37,0,0.37,0.37,0,0,0,0,0,0.37,0.37,0,0,1.48,0,0,0.37,0,0,7.03,31.08,0.37
3Month,0,0,0.42,0,0,0.1,0.21,0.21,0,0.1,0.21,0,0.1,0.1,0,0.1,0,0,0,0,0,0.1
22Month,0,0.14,0,0,0.14,0,2.05,0.27,0.14,0.27,0.41,0.14,0,0,0,0,0,0.27,0,0,0,0.14
