stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,54,0,0,0,0
72hpf,0.56,0.56,0.28,0.28,1.41,0.28,0,0,0.56,1.13,0.28,13.53,0,0.28,11.27,4.79,3.1,1.41,0.28,0
21Day,0.37,0.37,1.85,0,0.37,0.37,0.37,1.11,0,1.48,0,9.25,0.37,0,3.7,1.11,0.37,0,0,0.37
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0.27,0,0,0,0,0,0,0,0
