stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,11,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.28,0.28,0.28,0,0,0,0,0,0,1.41,0,3.38,0,0.56,45.94,5.64,0.85,0,5.92,0,0,1.13,0,1.13,0,0
21Day,1.85,0,0.74,0.37,0,0,0,0.37,0,0,0.37,0,0.37,5.18,0,1.85,17.39,2.22,0,0.37,0.74,0.74,0,0.74,0.37,0,0,0.37
3Month,0,0.1,1.14,0,0,0.1,0.21,0.62,0.21,0.21,0.1,0.42,0.21,0.62,0.1,0.62,0.1,0,0.52,0,0.21,0,1.14,0,0,0,1.98,0.1
22Month,0,0,0.68,0.14,0,0.14,0.55,4.1,0.41,0,0.27,0.14,0,2.87,0,0.96,0.96,0,0.96,0.41,0,0,0,0.41,0,0,0,0.27
