stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,240,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
72hpf,109.92,5.07,0,0.85,0.56,0,0,0,0,0,0,0,0,0,0,1.97,0,1.97,0,0,0,5.07,2.82,0,0,2.25,0,0,0.56,0,0,0,0,0
21Day,66.23,0.37,0.37,0.74,1.48,0,0,0,0,0,0,0,0,0,0,1.11,0.74,1.11,0,0,0.37,0.74,0,0,0,0.74,1.11,0.37,0.37,0.37,0.74,0.37,0,0
3Month,2.6,11.44,0.1,6.24,0,0.1,0.1,0.21,0.1,0,2.29,0.42,0,0.42,0.1,1.14,0.42,9.05,0.42,0,0.62,0,0.1,0.1,0,0,0.1,1.98,0.1,0,0,0,0.1,0.42
22Month,0.68,16.53,0,1.09,0,0.14,0,0.14,0.14,1.78,4.37,0.41,0.27,0.14,0.14,0.41,0.14,5.06,0,0.14,0.41,0,0,0,0.14,0,0,2.46,0.41,0,0,0.14,0.14,0
