stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,3.38,3.95,0,0,1.13,0,0,0.56,0.28,0,0,0,0
21Day,0.37,0.37,0,2.59,0.74,0,1.11,0,0,0,0,0,0,0.37,0,0.37,0,0,1.48,0,0,0.74,0,3.33,2.22,0,0,0.74,1.11,0,0.74,0,0.37,0,0,0
3Month,0.1,0.1,0.1,1.77,0,0.1,0.1,0.21,0.21,0,0,4.16,0.1,0.1,0.52,0.1,0.52,0.31,1.14,0,0,0.1,0.1,0.1,0,0.1,0,0,0.21,0.83,0,0,0,0.21,0.94,0.52
22Month,0,0.14,0,0.68,0,0.41,0,0.41,0.96,0.14,0,7.65,0.27,0.41,0.96,0,0.27,0.82,0.41,0.27,0.14,0,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0.14
