stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.28,0.56,0.28,0.85,0,0,0,0,0,0,0,0,0.28,0.85,0.28,0.56,0,0,0,0,2.82,1.97,0,1.41,0,0,0.85,0,0,0,0
21Day,0,1.11,0,4.07,0,1.48,0,0,0.37,0,0.37,0,0.37,0,0.74,0.74,0.37,2.96,0,0,0,0,0.37,0.74,0,0.37,0.37,0,0,0.37,0,0,0.37
3Month,0,0.94,0.21,3.74,0,0,0,0.21,0.83,0,3.02,0.21,0,0.62,0.94,0.31,0.31,0.62,0.1,0,0.1,0.21,0.1,0,0.83,0,0.1,2.39,0.1,0,0,4.26,0.21
22Month,0,1.37,0.41,4.65,0,0,0.41,0.14,4.24,0.68,9.57,0.27,0.27,0.82,0.27,0.14,0.55,0.27,0,0.55,0.14,0,0.14,0,0,0,0,0.82,0,0,0.14,0,0
