stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.28,0,0,1.69,0,0.56,0,10.99,3.1,0.28,0.28,0.85,0,0,0.28,0,0.28,0,0
21Day,0.37,0.74,0.37,0.37,0,0,0,0,0,0.37,0.74,0,4.07,0.74,0,0,0.37,0.37,0.74,0.74,0.37,0,0,0
3Month,0,0.21,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,1.14,0.1,0,0,0.42,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.41,0,0,0,3.01,0,0,0,0,0
