stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,1,0,0,0,0,2,0,0
72hpf,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.11,0
3Month,0.21,0,0,0.73,0.1,0,0.1,0
22Month,0,0.27,0.14,2.87,0,0,0,0.14
