stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,6,0,0,0
3Month,0,0.21,0,0.21,0.1,0,0,0.83,0.1,0.1
22Month,0,0.14,0.14,0.96,0,0.14,0,1.37,0,0
