stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0.28,2.82,2.25,0,0,1.13
21Day,0,0,0.37,0,0,0,0,0.37,0,0,0,2.96,0,0.37,0,0.37
3Month,0.1,0,0,0.1,0,0.52,0.21,0,0.1,0,0,0.42,0,0,0.21,0.1
22Month,0,0.14,0,0,0.55,0.27,0,0.14,0.27,0,0,0,0,0,0,0
