stage,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,1,0,1,1
21Day,0,0,0,0,0,0,0.37
3Month,0.42,0,0,0,0.1,0,0
22Month,0,0.27,0.14,0,0,0,0
