stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0.28,221.53,0,0,0,0,0,0,0,0,0,0.28,0,2.54,0,0.85,0,0,0,0,9.58,0.28,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,1.11,0,306.72,0,23.31,0,0,0,0,0,0.74,1.11,0.37,0.37,1.11,0.37,2.96,0,0,0.74,0,2.96,1.11,0.37,0,1.48,4.81,0,0,2.59,0,0,0.37
3Month,0.21,0,0.31,0.1,0,6.45,0.73,0.21,0.62,0,0,1.14,1.25,0.1,0.42,0,0.1,0.94,0.52,0.1,0,0.1,0.31,0.1,0,0.21,0,0,0,0.31,0,0,0.21,0.1,1.14
22Month,0.55,0.14,0.96,0,0,4.24,1.5,0,7.11,0.14,0,10.25,1.23,0.82,0.68,0,0.27,4.92,1.37,0,0.55,0,0,0,0,0,0.27,0,0.14,0.14,0.14,0,0,0,6.83
