stage,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
3Month,0.31,0,0,0.31,0.21,0
22Month,0,0.96,0.27,0.14,0.14,0.14
