stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.56,4.79,0,0,0,18.88,0.85,0,0,2.25,0,0,0,0,0.28,0,0,0,0
21Day,1.11,0.74,0.37,1.48,1.48,0,0.37,0,0,0,0,0,0.37,0.37,0,0.37,1.11,0.37,16.28,0,0,1.48,46.25,1.11,0,0.74,0.37,1.85,0,0,0,0.37,0.74,0,0,0.74
3Month,0,0.52,0.31,2.39,0,0.21,0,0.42,0.31,0.31,0,2.81,0.62,1.14,1.14,0,0.73,1.25,33.39,0.1,0,0.31,1.56,0,0.62,0,0,1.66,15.5,0.31,0,0,0,22.99,3.43,0.42
22Month,0,0,0.14,0.27,0,0.14,0,0,0,0.27,0.14,4.24,0.14,1.37,0.55,0,0,0.55,2.19,0,0.41,0.14,1.5,0,0.96,0,0,0.14,7.11,0.14,0.55,0,0,1.64,0,0.14
