stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell
21Day,0.37,0,0,0,0
3Month,0.1,1.14,0.1,0,0.1
22Month,0,0.68,0,0.14,0
