stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,1.69,0,0,0,0.28,0,0,0,0,0,0,0.85,0.28,0.28,0,0,0.28,0,1.97,1.13,0,0,0,0.28,0,0.85,0,0,0,0,0,0
21Day,0,0,0,0.37,1.85,0,0,0,0,0,0,0.37,1.48,0,0,0,0.37,1.11,0,0,0,0,1.48,0.37,0,0,0,1.11,0.74,2.59,0,0,0,0,0,1.48
3Month,0.21,1.56,0.83,9.57,2.39,0.42,0.31,1.98,4.89,0,15.71,4.47,0.73,6.97,0.62,4.99,4.26,4.37,0.73,0.1,1.14,2.18,0.83,0.21,1.04,0.62,0,0.31,3.95,525.7,0.62,0.1,0.1,3.22,178.7,3.12
22Month,0,0.41,0.27,0.68,0.14,0.14,0,0.14,2.6,0.27,7.79,0.14,1.23,1.37,0,0.14,4.37,0.68,0,0.27,0,0,0.27,0.14,0.14,0.27,12.03,0.27,0.41,78.03,0.41,0,0,0,0.27,0.41
