stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte
24hpf,0,0,0,0,1
72hpf,0,0,0,0,0.56
21Day,0.74,0,0.37,0.37,0
3Month,0.1,0.1,0,0,0
