stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0.28,0,0,0,0,0.28,0,0,2.82,0,0,0.28,0.28,0,0,0,0,0,1.41,1.41,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0,2.22,2.59,0,1.48,0,1.48,0.37,1.85,27.75,0.37,0.74,1.48,2.22,2.59,0,0,0.37,0,1.85,0.74,0,0,0,0.74,0.74,0,0.74,0.37,0.37,0,0,7.03
3Month,0.1,0.83,0,2.5,0,0.62,0.31,0.1,11.13,2.08,6.66,3.54,0.94,0.31,0.73,3.43,0.94,0.31,0,0,0.1,0.1,0,0.21,0.1,0,0,0.94,1.04,0,0,0,0.73,0.21,26.73
22Month,0,1.91,0.14,0.96,0,0.14,0.41,0,29.11,6.83,5.6,3.42,0.96,0,0,4.65,0.96,0,0.55,0.14,0,0.27,0,0,0.14,0.14,0,0,1.09,0.14,0,0,0.14,0,13.8
