stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,0,38,1,0,0,0,0,0,0,1,0,0,0,0,13,3,8,49,0,0,0,1,144,785,5,0,0,0,0,0,0,0,1,0,0,0
72hpf,17.19,2.82,0,19.73,1.97,20.01,0,0.85,0,0,1.13,0,0,0,0.28,0,7.89,47.35,4.51,69.9,0,3.38,1.13,0.28,1522.54,241.83,2.25,1.13,53.27,0.56,0,29.03,0.85,1.97,1.97,0,0,0
21Day,11.84,0.74,0.74,24.42,1.48,17.76,0,3.33,0,0,0.74,0,2.59,0,4.81,1.85,3.33,13.32,2.59,70.67,0.37,0,1.85,0,596.79,60.31,0.37,2.22,19.24,17.02,0,6.66,1.85,7.4,2.22,0.37,0,4.44
3Month,0.21,0.73,0.52,18.93,0,0,0.31,0,2.6,0.73,1.66,0,6.55,1.25,0,2.39,39.32,55.96,1.77,53.78,2.91,0,0.94,0.42,3.74,0.52,0.1,0,0.31,0.21,2.5,0.52,0,0,0,0.83,1.25,1.04
22Month,0,0.27,0.14,3.28,0,0,0,0,0.68,0.14,1.37,0,10.39,1.23,0,1.23,8.75,2.19,1.5,24.32,1.78,0.55,0.96,0,4.92,0.27,0.27,0.27,0,0.27,3.42,1.5,0.27,0,0.14,0,0,0.55
