stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,9.99,0.37,0,0.37,0,0,0,0.37,0,0,0,0.74
3Month,0.1,0.1,0.31,14.77,0,0.21,4.58,0.1,0,1.04,0.31,0,16.64,0.73,0.83,5.93,0.31,0.1,0.21,0.21,0,0.73,0.31,0,0.1,0,1.04
22Month,0,0.55,0.27,5.74,0,0,4.24,0,0.14,4.51,0.14,0,10.11,0.14,0.27,1.09,0.41,0,0.14,0,0.14,0.14,0,0.27,0,0.14,0.68
