stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,1.13,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,23.68,2.82,0,0.28,0.56,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,10.36,0.74,0,0.37,0,0.37,0,0.37,1.11,0,0,0
3Month,0.1,0.1,1.98,0.21,0,1.14,0.31,0,4.16,0.62,0.1,0.83,0.21,0.52,0.21,0.52,0.1,0,0.83,0.94,0,0.83,0.42,0,0.52,7.49,0,0,0.1,46.81,0.31
22Month,0.27,0,0.27,0,0,0.41,0.27,0.55,14.62,0.27,0.14,0.27,0,0,0.41,0.27,0,0.14,0.27,0.41,0,0.41,0.14,0,0.14,4.65,0.55,0.14,0,0.27,0
