stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,1,0,58,0,1,0,0,2,0,1,23,0,2,15,1
72hpf,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0.74,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.1,0,0.1,0,0,0.1,0.1,0,0.21,0,0,0,0,0,0
