stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,1.41,0.85,0,0,0
21Day,0.74,0,0,0.37,0,0,0.37,0
3Month,0.21,0.1,0.1,0.1,0,1.14,0,0.52
