stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4,30,0,3,0,0,0,0
72hpf,0.28,0.56,0.56,0.85,0.56,0,0.28,0,0.28,0,0.28,0,0,0.28,0,5.64,0,2.54,7.89,0,18.88,0,4.51,0,0
21Day,0.37,0,0,0.37,0,0,0.37,0,0,0,0.37,0,0,0.74,0,9.62,0,0.37,1.85,0.37,4.81,0,1.11,0.37,0
3Month,0,0.1,0.31,0,0,0.1,0.62,0,0,0.83,0,0.1,0.21,0.31,0.31,12.48,1.46,0,0.21,0.1,0.21,0.31,0.21,0,0
22Month,0,0.27,0,0,0,0.14,0.14,0.14,0,2.6,0,0.27,0,0.27,0.14,7.11,0,0,0,0,0.14,0.41,0.14,0,0.14
