stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.56,0.85,0,0,0,0,0,0,0,0,0,1.41,0,1.69,0,0,32.69,54.68,0.28,0.28,1.41,0,0,5.64,0.28,0,0.28,0,0
21Day,0.37,1.11,3.7,0.37,2.22,0,0,0,0,1.11,0,0.37,0,0,0,0.74,1.48,0.37,0,31.82,27.75,0,3.33,1.11,1.11,0,3.33,4.07,3.7,0.37,0,0
3Month,0,0,1.14,0.1,0,0,0.21,0,0,2.18,0.1,0.1,0.21,0.1,0.42,0.21,0.21,0.21,0.42,0.31,0.52,0,0.1,0,0.21,0.21,0.42,0,0,0.31,0.62,0.21
22Month,0.14,0.14,0.14,0,0,0.14,0,0.27,0.14,1.91,0,0.14,0.14,0,0.14,0.41,0.27,0,0,0.41,0,0,0.55,0,0,0.14,1.37,0.55,0,0,0,0
