stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0.28,0,0,0,0,0.28,0,0,0
21Day,0.37,0,2.59,0.74,0,0,0,0,0,0,0,0,0,0,1.85,0,1.48,0,0,0,0,9.25,0.37,0,0.37,0.37,0,0.37,0,0,0
3Month,0,0.1,3.33,0,0.1,0,0.1,0.52,0,1.87,0.1,0.21,0.94,0.1,0.83,0.1,2.91,0.94,0,0.42,0.21,1.14,0.1,0,0,0.1,0.62,0,1.14,0.21,0.31
22Month,0,0,0.55,0,0,0.14,0,0.68,0.27,7.11,0.27,0,1.23,0.14,0.55,0.41,4.1,0.14,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0.41
