stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Nephron_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
21Day,0,1.11,0,0,0,0,0,0,1.48,0,0,0,0,0,0
3Month,0.1,2.08,0,0.1,0.94,0.1,0,0.31,28.6,0.1,0,0.21,0,0.1,0
22Month,0.14,1.09,0.14,0,1.64,0,0.27,0.14,25.14,0,0.14,0,0.14,0,0.14
