stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,0,0.28,0,0,0,0,0,0.28,0,0,0,0,4.23,0,0,0,1.13,1.13,0,0,3.66,0,0,0,0,0
21Day,0.37,0,0,1.11,0.37,0,0,0,0,0,0,1.85,0,0,2.22,0,10.36,0,2.22,0,0.74,0.37,0,0,4.44,0,0,0.37,0,0
3Month,0,0.94,0.1,1.35,0,0,0.42,0.42,0,1.46,0.21,0,0.42,0.31,0.73,0.52,2.39,0.21,0.1,0.21,0,0,0,0.1,0,1.35,0,0,0.31,0.42
22Month,0,2.87,0.14,1.09,0,0,0,0.55,0.27,5.74,0.27,0.41,0.41,0,0.14,0.41,4.24,0.14,0.14,0,0,0,0.14,0,0,0.14,0.14,0,0.14,0
