stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,1.13,0.56,34.1,12.68,0.85,0,1.13,0
21Day,0,0.74,0,0,0,0.74,0,0,0,12.95,4.44,0.37,0.37,0.37,0
3Month,0.21,0,0,0,0,0,0.21,0,0.1,0,0.1,0,0,0,0.1
22Month,0.14,0,0.14,0.14,0.82,0,0.14,0,0.14,0,0,0,0,0,0
