stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0.28,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0
3Month,0,0.52,0,0.1,0.31,0.1,0.1,0.1,0.1,0,0,0,0.21,1.87,0.1,12.38,0.1
22Month,0,0,0,0,0.68,0,0,0,0,0,0.14,0,0,0,0,0,0
