stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,12,2,10,0,3,0,0,1,1,0,0,1,5,5,11,0,0,0,9,1472,0,0,2,0,0,0,0,0,0,0
72hpf,5.07,0.85,2.54,1.13,4.79,0,0,0,0,0,0.28,1.13,6.2,0.28,7.05,0.28,0.28,0.28,92.73,353.44,0.28,0.28,10.43,0.28,0,44.53,0.85,0,0.28,0
21Day,3.33,0.74,7.4,0,6.66,1.11,0,0,1.11,1.85,2.59,0.37,5.18,1.85,7.4,0,0,0,32.19,206.08,0.37,0,3.7,9.99,0,17.02,0.37,1.85,1.11,1.11
3Month,0.21,0,0.1,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0.31,0,0,0,0,0.31,0,0,0,0,0.1,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
