stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,1,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,1.97,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,24.8,0.28,14.66,0,0,0,0,2.54,1.97,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0,0,1.48,0,1.11,0,0,0,0,0,0,0,1.11,0,0,0,0,0.74,0,9.99,0,0,0,0,2.96,0,0,0,0,0.74,0.74,0,0,0,0.37,0,0,0,0
3Month,0.21,0.83,4.26,0.1,0,0,0,0.1,0.52,1.56,0,0,6.35,1.77,0.21,1.46,0.42,1.66,1.35,1.77,0.73,0,0.52,0.73,0.21,0,0.42,0.1,0,0.42,0.21,9.47,0.1,0,0,0.1,1.14,0.52,1.25
22Month,0.27,5.06,6.01,0,0,0.14,0.27,0.14,1.23,4.37,1.78,0,41.95,1.5,0.55,5.6,0.41,1.5,5.33,5.6,0.41,0.82,0.96,0.14,0.41,0,1.09,0.55,0.27,0.14,0,0.41,0.14,0.14,0,0,0.82,0,1.64
