stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,9.25,0,0,0.37,0,0,0.74,0,0.37,18.5,0.74,1.11,0,0,0,0,1.11,0,0,0.74,0,0.37,0.74,0,0,0
3Month,0,0.1,7.8,0.31,0.42,1.35,1.98,1.98,0.21,1.98,0.31,1.77,0.31,0.52,0,0.1,0.21,0.21,0,0.21,0,0,0.1,0.62,0,0.1,0.94,3.85
22Month,0.14,0.27,1.78,0,0.68,0.96,4.65,0.27,0.14,3.01,0,0.68,0.27,0.68,0.14,0,0,0.14,0,0.14,0.14,0,0,0.27,0,0,0,0.27
