stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0,0.37,2.96,0,0,0,2.22,0,0,0,0.37,0.37,0,0.74,0.37,0,0,4.44
3Month,0.1,0.21,0.21,0.21,0.21,0,1.46,0,0.62,2.6,0.1,0.21,0.1,0.1,1.04,0.1,0.1,0.1,0,0,0,0,0,0,0.1,3.54
22Month,0,0.41,0.27,0,0,0.14,1.23,0.27,2.19,1.23,0.55,0.14,0,0,0.27,0.14,0,0,0,0,0.14,0,0.14,0.14,0,1.91
