stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,2,0,0,0,2,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.28,4.23,0.85,0,0,8.46,0.56,0,0,0,3.95,0,0
21Day,0,0,0,0,0.74,0,0,0,0,0,1.85,0,0.37,1.11,9.25,1.11,0,0.37,3.33,0,0.37,0.37,0.37,0.74,0,0.37
3Month,0,0,0.52,0,0,0,0,0,0.42,1.46,0,0.31,0,0.31,13.52,0.1,0,0.1,0,0,0,2.29,0,0.1,0.83,0
22Month,0.14,0.14,0.27,0,0,0.14,0.14,0.96,3.83,0.96,0.14,0.41,0,0,11.48,0.41,0.14,0,0.27,0,0,1.78,0,0.14,0,0.14
