stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0,2.22,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,1.35,0.1,0.1,0.31,0.94,0,2.29,0.52,0.31,0.73,0.42,0.31,0.21,0.1,0.1,0,0,0.21,0,0.1,0.42,6.24,2.91,24.96,0.21
22Month,0.27,0.27,0.14,0,0,0.41,0.55,0.14,7.79,0.41,0,0.55,0.14,0.27,0.82,0,0.27,0,0.14,0.27,2.05,0,0.14,1.23,4.24,0.14,0
