stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,9.58,0,6.2,0,1.69,0,0,0,0,0,0,0,0.85,0,0.56,1.97,0,56.09,0,0,0,0,48.2,5.36,0.28,0,0,16.07,0,0,0.56,0,0,0,0,0,0
21Day,5.18,7.77,0,29.97,0.37,1.85,0,1.11,0,0,0.37,0,0.37,0.74,0.74,0.37,5.18,1.11,58.83,0,0,0.74,0,35.52,3.33,0,0.74,0,4.07,3.7,2.59,1.11,0.37,1.11,0.37,0.37,0,1.11
3Month,0.31,5.51,0,67.09,0,0,0.31,0,0.1,0.73,1.77,7.07,2.39,0.1,2.6,1.14,33.29,1.66,12.69,6.76,0,2.91,0.21,0.42,0.1,0.31,0.21,0,0.31,0.94,8.84,0.1,0,0,0,18.1,53.88,1.25
22Month,0,0.96,0.27,22.68,0,0,0.14,0.14,0,0.14,1.64,14.35,0.41,0.55,1.78,0.55,5.33,1.78,6.97,1.09,0.82,0.14,0,0,0.14,0.96,0.27,4.78,0,0.41,15.85,0.41,0.41,0,0,1.64,0.41,0.41
