stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.85,0.56,0,0,0.28,0,0,0,0,0,0,0,0,1.41,0,3.95,0,0,103.44,9.02,1.41,1.13,1.69,0,0,1.97,0,0,0,0,0,0
21Day,0.74,0,0,0.74,1.11,1.85,0,0,0,0.37,0,0,0,0.37,0.74,0.37,0.74,0.37,22.94,0,0,61.42,4.44,0.37,4.07,2.22,1.48,0,4.44,0,0.74,0.37,0,0,0.74
3Month,0,0.21,0,0.62,0.21,0,0.1,0,0.1,0.1,0,1.35,0.42,0.1,0.52,0.1,1.66,0.42,10.51,0.21,0.1,0.83,0.1,1.46,0.52,0,0,0.73,1.46,0,0,0.1,0.1,0.42,1.87
22Month,0,0.14,0.14,0.27,0.14,0,0.14,0,0.14,0.14,0.27,3.28,0.27,0.14,0.68,0.14,0.41,0.82,2.32,0.14,0,0.14,0.14,0.96,0.14,0,0,0.14,3.01,0.27,0,0.14,0,0,0.41
