stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,1.41,0,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,3.33,0,0.37,0,0,0.37,0,0.37,0.37,0,0,1.11,2.22,0.37,0.37,0,0,0,0.74,0,0.37,0,0,0.37,0,0,0,0,0
3Month,0,0.1,1.35,8.84,0.21,0,0.1,4.16,7.59,0,2.08,5.51,0.1,2.81,2.7,0.83,1.25,0.62,0,2.29,2.7,0.21,0,0.21,0.1,0,0,0.1,0.94,0.1,2.29,0.62
22Month,0.14,0.68,0.96,3.55,0,0,0.27,1.23,12.85,0,9.7,1.5,0.14,0.82,0.14,0.41,0.68,1.23,0.14,1.09,0.14,0,0,0,0.55,0.27,0,0,0.27,0,0,0.27
