stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.28,0.28,1.13,0,0,0.28,0,0,0
21Day,0,13.69,0.37,0,0,0,0,1.48,0,0.37,4.44,0.37,0.37,0.37,0.74,0,0,0,0,0,0.37,0.37,0.37
3Month,0.21,8.43,0,0,0.31,0,0.94,0,0.52,0.83,13.94,0.62,0.52,0.73,0.1,0,0,0.1,0.52,0,0.1,0,0.31
22Month,0.14,2.87,0,0.27,0.14,0.41,2.87,0,0.14,0,1.09,0.27,0,0,0,0,0.14,0,0.27,0.14,0,0,0
