stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,1.41,0,0,0,0,0.28,0.28,0,0.28,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,2.22,0,0,0,0.37,0,0.74,4.44,0.37,0,0
3Month,0,0,1.35,0.1,0,0.21,0.62,0,0.21,0.1,0.21,0.31,0.21,0.31,0,0.1,0.1,0.1,0.21,0.1,0,0.1,2.7,0,0,0.1,0.83,0.1
22Month,0,0.55,0.14,0,0.14,0.14,2.6,0.14,3.83,0,0.14,0.14,0,0.27,0.41,0,0,0,0,0.14,0.14,0.14,5.6,0,0,0,0,0
