stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,1.11,0.37,0,0.37,0,2.96,0,0.37,0.37,0.37,0,0,1.11
3Month,0,0.52,0.21,0.31,0,1.77,0,0.31,0.21,0.42,0.42,0.62,0.83,0,0.1,0.1,0.1,0,0,0,0.1,0.21,0.21,2.7
22Month,0.41,0.41,0.14,0.55,0.27,6.97,0.14,0.68,0.96,0,0,1.37,0.55,0.82,0,0,0.41,0,0,0,0,0,0,1.5
