stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,0.52,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0.14,1.23,0.14,0.96,0.27,0.14,0.14,0.68,0,0.14,0.14,0.27,0,0.14,0.14,0.14
